station,lines,reason,latitude,longitude
Eldorado,1,"in Contagem (3118601), outside the scope (3106200)",-19.938737,-44.029363000000004
Novo Eldorado,1,"in Contagem (3118601), outside the scope (3106200)",-19.9307504,-44.041553500000006
