station,lines,reason,latitude,longitude
Corte Oito,SS,"in Duque de Caxias (3301702), outside município 3304557",-22.77237895,-43.306706199999994
Duque de Caxias,SS,"in Duque de Caxias (3301702), outside município 3304557",-22.7872606,-43.309599950000006
Gramacho,SS,"in Duque de Caxias (3301702), outside município 3304557",-22.75153155,-43.30439315
