station,lines,reason,latitude,longitude
Jeongja,Shinbundang Line Suin–Bundang Line,outside Seoul's boundary,37.366576625,127.108268825
Jeongok,Line 1,outside Seoul's boundary,38.024529799999996,127.0719283
Jeongwang,Line 4 Suin–Bundang Line,outside Seoul's boundary,37.3517846,126.7430016
Jichuk,Line 3,outside Seoul's boundary,37.64814335,126.91374195
Jihaeng,Line 1,outside Seoul's boundary,37.89235135,127.05581495
Jiksan,Line 1,outside Seoul's boundary,36.87095285,127.14381025
Jinjeop,Line 4,outside Seoul's boundary,37.7200354,127.20323855
Jinwi,Line 1,outside Seoul's boundary,37.110096850000005,127.0623938
Juan,Line 1,outside Seoul's boundary,37.46513614999999,126.67930585
Jukjeon,Suin–Bundang Line,outside Seoul's boundary,37.32456285,127.1074114
Jung-dong,Line 1,outside Seoul's boundary,37.48670185,126.7641426
Jungang,Line 4 Suin–Bundang Line,outside Seoul's boundary,37.31602785,126.8384926
Juyeop,Line 3,outside Seoul's boundary,37.670143249999995,126.76123989999999
Kkachiul,Line 7,outside Seoul's boundary,37.506238350000004,126.8113736
Korea Aerospace University,Gyeongui–Jungang Line,outside Seoul's boundary,37.602793500000004,126.86842155000001
Madu,Line 3,outside Seoul's boundary,37.652009899999996,126.7777566
Mangwolsa,Line 1,outside Seoul's boundary,37.710314,127.0473907
Migeum,Shinbundang Line Suin–Bundang Line,outside Seoul's boundary,37.349992799999995,127.108944925
Misa,Line 5,outside Seoul's boundary,37.56300245,127.1927987
Moran,Line 8 Suin–Bundang Line,outside Seoul's boundary,37.433096774999996,127.12970444999999
Myeonghak,Line 1,outside Seoul's boundary,37.3843055,126.93565065
Namdong Induspark,Suin–Bundang Line,outside Seoul's boundary,37.40773915,126.69527225
Namhansanseong,Line 8,outside Seoul's boundary,37.451577349999994,127.15982804999999
Namwirye,Line 8,outside Seoul's boundary,37.46276445,127.13923265
Neunggok,Gyeongui–Jungang Line,outside Seoul's boundary,37.618931149999995,126.8205415
Nogyang,Line 1,outside Seoul's boundary,37.7593989,127.0423314
Oido,Line 4 Suin–Bundang Line,outside Seoul's boundary,37.36183835,126.7384525
Omokcheon,Suin–Bundang Line,outside Seoul's boundary,37.2434657,126.9640133
Onam,Line 4,outside Seoul's boundary,37.705207650000006,127.1910807
