station,latitude,longitude,lines,distance_outside_m
Cartier,45.560398,-73.681719,Ligne 2 - Orange,694.5
De la Concorde,45.560544,-73.709337,Ligne 2 - Orange,1692.5
Longueuil-Université de Sherbrooke,45.524574,-73.522036,Ligne 4 - Jaune,435.9
Montmorency,45.558434,-73.722423,Ligne 2 - Orange,1981.8
