station,lines,reason,latitude,longitude
Taipei Main Station,Airport MRT,outside Taoyuan (in 臺北市),25.048731111826385,121.51432776303326
Sanchong,Airport MRT,outside Taoyuan (in 新北市),25.05469480742886,121.48280943567262
New Taipei Industrial Park,Airport MRT,outside Taoyuan (in 新北市),25.061692446046628,121.45891906824743
Xinzhuang Fuduxin,Airport MRT,outside Taoyuan (in 新北市),25.059266390727224,121.44587635464742
Taishan,Airport MRT,outside Taoyuan (in 新北市),25.053190847107714,121.43949223285546
Taishan Guihe,Airport MRT,outside Taoyuan (in 新北市),25.033169433101467,121.42270410995576
Linkou,Airport MRT,outside Taoyuan (in 新北市),25.065794521241894,121.36148641396522
