station,lines,reason,latitude,longitude
Hugo de Grootplein,12,"spacing filter on Tram 12: 0.457 mi after Marnixplein, under 0.5 mi",52.374677500000004,4.872761
IJsbaanpad,24,"spacing filter on Tram 24: 0.313 mi after Olympiaweg, under 0.5 mi",52.3411,4.857647
Jan Tooropstraat,13,"spacing filter on Tram 13: 0.133 mi after Jan Voermanstraat, under 0.5 mi",52.3715695,4.838134999999999
Keizersgracht,4,"spacing filter on Tram 4: 0.292 mi after Frederiksplein, under 0.5 mi",52.363807,4.8983085
Kruislaan,29,"spacing filter on Tram 29: 0.303 mi after Hugo de Vrieslaan, under 0.5 mi",52.3477545,4.9401945000000005
Louis Davidsstraat,1,"spacing filter on Tram 1: 0.294 mi after Hoekenes, under 0.5 mi",52.3538815,4.8088065
Louwesweg,2,"spacing filter on Tram 2: 0.368 mi after Laan van Vlaanderen, under 0.5 mi",52.3467005,4.8247505
Lutmastraat,4,"spacing filter on Tram 4: 0.364 mi after Victorieplein, under 0.5 mi",52.3516625,4.9032195000000005
Maasstraat,12,"spacing filter on Tram 12: 0.473 mi after De Pijp, under 0.5 mi",52.346937499999996,4.895103499999999
Maasstraat,4,"spacing filter on Tram 4: 0.252 mi after Europaplein, under 0.5 mi",52.342949000000004,4.896652
Marco Polostraat,13,"spacing filter on Tram 13: 0.222 mi after Admiraal de Ruijterweg, under 0.5 mi",52.3709155,4.855331
Mr. Visserplein,14,"spacing filter on Tram 14: 0.143 mi after Waterlooplein, under 0.5 mi",52.367801,4.9057525
Nieuwe Willemsstraat,12,"spacing filter on Tram 12: 0.484 mi after Zoutkeetsgracht, under 0.5 mi",52.381502999999995,4.8810685
Olympiaplein,24,"spacing filter on Tram 24: 0.452 mi after Stadionweg, under 0.5 mi",52.346333,4.866207
Olympisch Stadion,24,"spacing filter on Tram 24: 0.115 mi after Olympiaweg, under 0.5 mi",52.343928,4.856902
Pilatus,1,"spacing filter on Tram 1: 0.113 mi after Matterhorn, under 0.5 mi",52.3529295,4.776821
Prinsengracht,4,"spacing filter on Tram 4: 0.171 mi after Frederiksplein, under 0.5 mi",52.362111,4.8989655
Rozengracht,5,"spacing filter on Tram 5: 0.435 mi after Marnixplein, under 0.5 mi",52.37221,4.8757855
Theo van Goghpark,26,"spacing filter on Tram 26: 0.362 mi after Centrumeiland, under 0.5 mi",52.351049,5.004484
VU medisch centrum,24,"spacing filter on Tram 24: 0.253 mi after Amstelveenseweg, under 0.5 mi",52.3351715,4.860513
Van Baerlestraat,12,"spacing filter on Tram 12: 0.347 mi after Overtoom, under 0.5 mi",52.3586085,4.878181
Van Hilligaertstraat,12,"spacing filter on Tram 12: 0.237 mi after De Pijp, under 0.5 mi",52.349515,4.891443000000001
Van Limburg Stirumstraat,5,"spacing filter on Tram 5: 0.217 mi after Van Hallstraat, under 0.5 mi",52.384349,4.8750355
Van Woustraat,25,"spacing filter on Tram 25: 0.468 mi after De Pijp, under 0.5 mi",52.354817999999995,4.9012329999999995
Westlandgracht,2,"spacing filter on Tram 2: 0.481 mi after Heemstedestraat, under 0.5 mi",52.351583000000005,4.845428
Willem Schoutenstraat,7,"spacing filter on Tram 7: 0.212 mi after Postjesweg, under 0.5 mi",52.367194999999995,4.852482999999999
Zuiderzeeweg,26,"spacing filter on Tram 26: 0.377 mi after Bob Haarmslaan, under 0.5 mi",52.3720275,4.961506
muziekgebouw Bimhuis,26,"spacing filter on Tram 26: 0.371 mi after Kattenburgerstraat, under 0.5 mi",52.377272500000004,4.9130515
