station,latitude,longitude,lines,distance_outside_m
Highway 407 Station,43.783359,-79.523454,Line 1 Yonge-University,875.6
Vaughan Metropolitan Centre Station,43.794021,-79.527906,Line 1 Yonge-University,2112.8
